planPhraseId,planPeriodType,domainCode,domain,ageYears,phraseNo,phraseType,phraseText,source,status,sortOrder,note
PLAN-HEALTH-3-001,MONTH,11,健康,3,1,月のねらい,保育士や友達と安心して関わりながら、好きな遊びを見つけて伸び伸びと体を動かす。,保育所保育指針_3歳以上児_5領域_文例化初版,active,113001,
PLAN-HEALTH-3-002,MONTH,11,健康,3,2,月のねらい,園生活の流れに少しずつ慣れ、保育士に見守られながら身の回りのことを自分でしようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,113002,
PLAN-HEALTH-3-003,MONTH,11,健康,3,3,月のねらい,戸外遊びや運動遊びを楽しみ、走る、跳ぶ、登るなど、全身を使う心地よさを味わう。,保育所保育指針_3歳以上児_5領域_文例化初版,active,113003,
PLAN-HEALTH-3-004,MONTH,11,健康,3,4,月のねらい,食事や排せつ、着脱などの基本的な生活習慣に関心をもち、保育士と一緒に取り組もうとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,113004,
PLAN-HEALTH-3-005,MONTH,11,健康,3,5,月のねらい,手洗い、うがい、衣服の調整などを保育士に促されながら行い、健康に過ごす心地よさを感じる。,保育所保育指針_3歳以上児_5領域_文例化初版,active,113005,
PLAN-HEALTH-3-006,MONTH,11,健康,3,6,月のねらい,危険な場所や遊び方について保育士の言葉を聞き、安全に遊ぼうとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,113006,
PLAN-HEALTH-4-001,MONTH,11,健康,4,1,月のねらい,友達と一緒に戸外や室内で体を動かす遊びを楽しみ、いろいろな動きに挑戦する。,保育所保育指針_3歳以上児_5領域_文例化初版,active,114001,
PLAN-HEALTH-4-002,MONTH,11,健康,4,2,月のねらい,園生活の見通しをもち、自分でできる身の回りのことに進んで取り組む。,保育所保育指針_3歳以上児_5領域_文例化初版,active,114002,
PLAN-HEALTH-4-003,MONTH,11,健康,4,3,月のねらい,走る、跳ぶ、投げる、支える、バランスを取るなど、多様な動きを経験しながら体の使い方を知る。,保育所保育指針_3歳以上児_5領域_文例化初版,active,114003,
PLAN-HEALTH-4-004,MONTH,11,健康,4,4,月のねらい,友達と食事をする楽しさを感じ、様々な食べ物に興味をもつ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,114004,
PLAN-HEALTH-4-005,MONTH,11,健康,4,5,月のねらい,手洗い、うがい、汗の始末、衣服の調整など、健康に過ごすための習慣を身に付けようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,114005,
PLAN-HEALTH-4-006,MONTH,11,健康,4,6,月のねらい,遊具や道具の使い方、遊びの約束を知り、安全に気を付けて遊ぼうとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,114006,
PLAN-HEALTH-5-001,MONTH,11,健康,5,1,月のねらい,友達と目的を共有しながら、思いきり体を動かして遊ぶ楽しさや達成感を味わう。,保育所保育指針_3歳以上児_5領域_文例化初版,active,115001,
PLAN-HEALTH-5-002,MONTH,11,健康,5,2,月のねらい,自分の体や健康に関心をもち、生活に必要な習慣を自分で考えて行動しようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,115002,
PLAN-HEALTH-5-003,MONTH,11,健康,5,3,月のねらい,運動遊びや集団遊びの中で、体の動きを調整したり、力加減を考えたりしながら遊ぶ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,115003,
PLAN-HEALTH-5-004,MONTH,11,健康,5,4,月のねらい,食事、睡眠、清潔、衣服の調整など、健康な生活に必要なことに気付き、自分から行おうとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,115004,
PLAN-HEALTH-5-005,MONTH,11,健康,5,5,月のねらい,友達と協力して生活の場を整え、見通しをもって活動に取り組む。,保育所保育指針_3歳以上児_5領域_文例化初版,active,115005,
PLAN-HEALTH-5-006,MONTH,11,健康,5,6,月のねらい,危険な場所や遊び方、災害時の行動について理解し、自分たちで安全に気を付けて行動しようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,115006,
PLAN-REL-3-001,MONTH,21,人間関係,3,1,月のねらい,保育士との信頼関係の中で安心して過ごし、好きな遊びを見つけて楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,213001,
PLAN-REL-3-002,MONTH,21,人間関係,3,2,月のねらい,保育士や友達と一緒に過ごす喜びを感じながら、園生活に親しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,213002,
PLAN-REL-3-003,MONTH,21,人間関係,3,3,月のねらい,身の回りのことを保育士に見守られながら、自分でしようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,213003,
PLAN-REL-3-004,MONTH,21,人間関係,3,4,月のねらい,友達のしている遊びに興味をもち、同じ場で遊ぶことを楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,213004,
PLAN-REL-3-005,MONTH,21,人間関係,3,5,月のねらい,保育士に仲立ちされながら、自分の思いや気持ちを言葉や表情で伝えようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,213005,
PLAN-REL-3-006,MONTH,21,人間関係,3,6,月のねらい,友達との関わりの中で、順番や貸し借りなどの簡単な約束に気付く。,保育所保育指針_3歳以上児_5領域_文例化初版,active,213006,
PLAN-REL-3-007,MONTH,21,人間関係,3,7,月のねらい,保育士や友達と一緒に活動する中で、できた喜びや認められるうれしさを感じる。,保育所保育指針_3歳以上児_5領域_文例化初版,active,213007,
PLAN-REL-3-008,MONTH,21,人間関係,3,8,月のねらい,友達との関わりを通して、うれしい、悔しい、困ったなどの様々な気持ちを経験する。,保育所保育指針_3歳以上児_5領域_文例化初版,active,213008,
PLAN-REL-4-001,MONTH,21,人間関係,4,1,月のねらい,友達と関わりながら遊ぶ楽しさを感じ、自分から遊びに参加しようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,214001,
PLAN-REL-4-002,MONTH,21,人間関係,4,2,月のねらい,自分の思いを友達や保育士に伝えながら、相手の思いにも気付こうとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,214002,
PLAN-REL-4-003,MONTH,21,人間関係,4,3,月のねらい,友達と一緒に遊ぶ中で、順番や約束を守ることの大切さに気付く。,保育所保育指針_3歳以上児_5領域_文例化初版,active,214003,
PLAN-REL-4-004,MONTH,21,人間関係,4,4,月のねらい,友達と同じ目的をもって遊びを進める楽しさを味わう。,保育所保育指針_3歳以上児_5領域_文例化初版,active,214004,
PLAN-REL-4-005,MONTH,21,人間関係,4,5,月のねらい,友達のよさや得意なことに気付き、一緒に活動することを楽しむ。,保育所保育指針_3歳以上児_5領域_文例化初版,active,214005,
PLAN-REL-4-006,MONTH,21,人間関係,4,6,月のねらい,自分でできることに進んで取り組み、自信をもって行動しようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,214006,
PLAN-REL-4-007,MONTH,21,人間関係,4,7,月のねらい,友達との関わりの中で、うれしさや悔しさ、葛藤を経験しながら、気持ちを調整しようとする。,保育所保育指針_3歳以上児_5領域_文例化初版,active,214007,
