practice_code,category_code,category_name,name,memo,source_type,source_ref,source_url,status,version,tenantId,createdBy,updatedBy,visibility,ownerType,owner
PR-TEST-0001,TEST,テスト,テストレコード１,テストレコード１,external,,,inactive,0,,,,private,system,
PR-TEST-0002,TEST,テスト,テストレコード２,テストレコード２,external,,,draft,0,,,,private,system,
PR-OUT-0001,OUT,外遊び,みんなでかけっこ、遊びで走る楽しさと応援,園庭で全員かけっこや走りっこを行い、簡単なルールの戸外遊びをみんなで楽しむ。保育士も応援し、友だちを応援する姿や得意な面に気づける声かけで意欲と自信につなげる。,internal,,https://dev.hoiku360.jp/,active,1,,,,public,system,
PR-OUT-0002,OUT,外遊び,砂場でレストランごっこ、友達と役割遊び,砂場にテーブル・食器・帽子やメニューを用意し、作り手と客のやり取りを楽しむ。簡単な役割分担から異年齢も交えたレストランごっこへ発展させる。,internal,,https://dev.hoiku360.jp/,active,1,,,,public,system,
PR-OUT-0003,OUT,外遊び,園庭での水遊びコーナーと身支度習慣,園庭にたらい・ビニールプール・雨どい等でコーナーを作り、好きな場所で水遊びを楽しむ。着替えや体拭きなど水遊びの身支度も自分でできるよう丁寧に支援する。,internal,,https://dev.hoiku360.jp/,active,1,,,,public,system,
PR-OUT-0004,OUT,外遊び,並びっこ競争で手つなぎ・列歩きと交通安全,電車ごっこ等で2～3人組になって手をつなぎ、笛合図で並び直す遊びを通して列を保って歩く練習をする。戸外の場面を想定し、車への気づきや安全な行動につなげる。,internal,,https://dev.hoiku360.jp/,active,1,,,,public,system,
PR-OUT-0005,OUT,外遊び,鬼ごっこでルールの理解、友だち同士で話し合い,鬼ごっこを通して役割やルールを分かりやすく共有し、カラーリストバンド等でチームを可視化。意見の出し合いは見守りつつ、応援席など参加しやすい環境を整え、ルールを守る楽しさに気づけるようにする。,internal,,https://dev.hoiku360.jp/,active,1,,,,public,system,
PR-OUT-0006,OUT,外遊び,園庭と散歩で交通安全の体験,交通安全協会の話やクイズで関心を高め、園庭の簡易信号・横断歩道で歩き方や渡り方を体験する。散歩でも「車は来てる？信号は何色？」等の声かけで安全意識を促しつつ、楽しさも損なわないよう配慮する。月1回程度。,internal,,https://dev.hoiku360.jp/,active,1,,,,public,system,
PR-OUT-0007,OUT,外遊び,ミニ・ビオトープで自然観察,水槽に赤玉土や水草を入れ、メダカやオタマジャクシを飼うミニ・ビオトープを園内に設置。狭い場所でも管理しやすく、ゆったり観察して春の自然に触れる。不安な子も生き物を一緒に見ることで落ち着きや親しみを育む。,internal,,https://dev.hoiku360.jp/,active,1,,,,public,system,
PR-OUT-0008,OUT,外遊び,種まき・苗植えで植物の成長を毎日観察,子どもと育てたい作物を相談し、種まきや苗植えを行う。スポンジ発芽から土へ移し、園庭やテラスで毎日観察できる環境を整える。成長は写真で記録し掲示して共有し、虫の観察も取り入れて興味を広げる。,internal,,https://dev.hoiku360.jp/,active,1,,,,public,system,
